!,consonant
d_n,voiced
d_n,palato-alveolar
d-,consonant
d-,plosive
d-,velarized
d-,voiced
d-,alveolar
d.,consonant
d.,plosive
d.,voiced
d.,retroflex
d.*,consonant
d.*,plosive
d.*,laryngealized
d.*,voiced
d.*,retroflex
d.<,consonant
d.<,plosive
d.<,voiced
d.<,retroflex
d.<,implosive
d.h,consonant
d.h,plosive
d.h,breathy
d.h,voiced
d.h,retroflex
d.n,consonant
d.n,plosive
d.n,nasally-released
d.n,voiced
d.n,retroflex
d.r,consonant
d.r,trill
d.r,voiced
d.r,retroflex
d.r,affricated
d.z,consonant
d.z,affricate
d.z,voiced
d.z,retroflex
d.z,sibilant
d*,consonant
d*,plosive
d*,laryngealized
d*,voiced
d*,alveolar
d&,consonant
d&,plosive
d&,voiced
d&,alveolar
d&,ejective
d<,consonant
d<,plosive
d<,voiced
d<,alveolar
d<,implosive
dD,consonant
dD,plosive
dD,voiced
dD,dental
dD*,consonant
dD*,plosive
dD*,laryngealized
dD*,voiced
dD*,dental
dD<,consonant
dD<,plosive
dD<,voiced
dD<,dental
dD<,implosive
dD6,consonant
dD6,affricate
dD6,voiced
dD6,dental
dD9,consonant
dD9,plosive
dD9,pharyngealized
dD9,voiced
dD9,dental
dDh,consonant
dDh,plosive
dDh,breathy
dDh,voiced
dDh,dental
dDJ,consonant
dDJ,plosive
dDJ,palatalized
dDJ,voiced
dDJ,dental
dDn,consonant
dDn,plosive
dDn,nasally
dDn,released
dDn,voiced
dDn,dental
dDz,consonant
dDz,affricate
dDz,voiced
dDz,dental
dDz,sibilant
dJ,consonant
dJ,plosive
dJ,palatalized
dJ,voiced
dJ,alveolar
dj,consonant
dj,plosive
dj,voiced
dj,palatal
dj:,consonant
dj:,plosive
dj:,long
dj:,voiced
dj:,palatal
dj*,consonant
dj*,plosive
dj*,laryngealized
dj*,voiced
dj*,palatal
dj<,consonant
dj<,plosive
dj<,voiced
dj<,palatal
dj<,implosive
djjF,consonant
djjF,affricate
djjF,voiced
djjF,palatal
djjFW,consonant
djjFW,affricate
djjFW,labialized
djjFW,voiced
djjFW,palatal
djz$,consonant
djz$,affricate
djz$,voiced
djz$,sibilant
djz$,palatal
dlD,consonant
dlD,plosive
dlD,voiced
dlD,prestopped
dlD,dental
dlD,lateral
dlD,approximant
dlF,consonant
dlF,affricate
dlF,voiced
dlF,alveolar
dlF,lateral
dn,consonant
dn,plosive
dn,nasally-released
dn,voiced
dn,alveolar
dz,consonant
dz,affricate
dz,voiced
dz,alveolar
dz,sibilant
dZ,consonant
dZ,affricate
dZ,voiced
dZ,palato-alveolar
dZ,sibilant
dz-,consonant
dz-,affricate
dz-,velarized
dz-,voiced
dz-,alveolar
dz-,sibilant
dZ-,consonant
dZ-,affricate
dZ-,velarized
dZ-,voiced
dZ-,palato-alveolar
dZ-,sibilant
dz&,consonant
dz&,affricate
dz&,voiced
dz&,alveolar
dz&,sibilant
dz&,ejective
dZ&,consonant
dZ&,affricate
dZ&,voiced
dZ&,palato-alveolar
dZ&,sibilant
dZ&,ejective
dzh,consonant
dzh,affricate
dzh,breathy
dzh,voiced
dzh,alveolar
dzh,sibilant
dZh,consonant
dZh,affricate
dZh,breathy
dZh,voiced
dZh,palato-alveolar
dZh,sibilant
dZJ,consonant
dZJ,affricate
dZJ,palatalized
dZJ,voiced
dZJ,palato-alveolar
dZJ,sibilant
dZW,consonant
dZW,affricate
dZW,labialized
dZW,voiced
dZW,palato-alveolar
dZW,sibilant
e,vowel
e,atr
e,front
E,vowel
E,front
e_,vowel
e_,RETRACTED
e_,atr
e_,front
e:,vowel
e:,LONG
e:,atr
e:,front
E:,vowel
E:,LONG
E:,front
E),vowel
E),front
E),rounded
E)~,vowel
E)~,nasal
E)~,front
E)~,rounded
e@,diphthong
e@,mid
e@,front
e@,unrounded
e@,to
e@,mid
e@,central
e@,unrounded
E*,vowel
E*,constricted
E*,front
e*,vowel
e*,constricted
e*,front
e*,atr
e~,vowel
e~,nasal
e~,atr
e~,front
E~,vowel
E~,nasal
E~,front
e~:,vowel
e~:,LONG
e~:,nasal
e~:,atr
e~:,front
E~:,vowel
E~:,LONG
E~:,nasal
E~:,front
ea,diphthong
ea,mid
ea,front
ea,unrounded
ea,to
ea,low
